Ticker,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
PRQR,,,,,,,1546416595.9391193,619423003.1113163,349674270.46153367,230142748.35567066,1126093834.1055553,707198346.8314387,299720783.8081155,571610394.2689711,
KAR,,479919239.4759476,480267367.0897168,469826797.3676155,711701367.5255468,1074063440.5598845,1300499050.8972085,1430625209.355733,1696075635.465591,2068221569.142589,2004089647.0512824,2490164829.9383454,2155596463.6179676,1809264664.7359862,
CPA,872234089.9326371,1583885442.4378448,1750585806.4648306,1792673326.417128,3191583080.302522,5192112870.044746,3465272912.8941226,1695318888.7472227,3287590752.476187,4955736212.373837,3014619517.962887,4253439888.9615393,3066672133.146447,3282288213.621009,
CORR,128998719.50672789,210086707.46021798,251854171.65454122,292618423.90454483,230217148.4549205,286804590.48900014,279972574.9540429,140729510.87396416,381106963.7116685,453863005.66807765,426571100.1798273,619211607.6293149,98511387.35150363,46692910.81246875,
XIN,70377455.63232899,128929118.6614275,75857675.6068945,52937844.242972136,112615849.84989166,174917335.8428955,81576614.21943903,136137205.0376892,194019155.89249134,287270516.18976593,169938536.12365723,190092832.58764744,118533582.56914616,33943706.743085384,
EVTC,,,,,,1457346703.83729,1330809981.717048,1027536405.8530948,1121361562.9975657,877837821.4338409,1853007246.4255283,2211945423.1575537,2572050234.187028,3285057201.3093605,
CORR-PA,,,,,,,,208315228.328764,307723692.4992183,346281440.33297807,340444386.7708004,394873034.43954,311245105.02147526,382627219.7231544,
AMSF,222707703.71948686,194937021.81739852,189838543.37335435,252213967.0342541,295605488.5421119,462349781.28461236,485803753.15387124,626884583.7906885,817444886.8635544,864120666.9561815,853967700.5181066,1063006861.5390512,998311401.4063462,1018235985.6322112,
PWP,,,,,,,,,,,,,966447830.6033797,1111782893.4770007,
ZOM,,,,,,,,,,1937361218.4867656,1205338562.4633055,324363462.01299775,226368464.29523617,300844671.90626675,
MRCY,364583604.4408348,636143518.9763201,1061972488.8143201,767878943.430954,531564044.648687,632676772.6292223,804279532.1161942,1060816998.5353937,1746072325.7961004,2966936244.2941184,2732354856.4405603,3993086109.970917,5087992330.919252,3181295395.123128,
IMUC,,,,,,,,,,,,,,1761269.8017961802,
MGM,5109357743.424353,3386434238.5322924,5514096000.838802,3872863181.9615674,4322161017.814889,8733436693.812065,7938812622.013549,8436379585.596106,10705142930.71283,12575932181.916471,9285521847.996122,12970643222.06267,12379936767.434624,17637942280.3964,
BCHG,,,,,,,,,,,,,784221780.851502,94405301.77052513,
DIS,35619570726.18907,51211043356.22711,60215103482.96034,61209940458.07691,82518497104.77234,128183288335.59239,160039769334.95053,180732720574.92166,181947185140.97543,190608221895.77042,197485018316.62952,263669164513.55435,330301982179.3023,282373749234.5673,
RNST,629667907.3731592,528627558.6305551,687356523.2630265,639743751.6121641,850048612.0303053,1435637475.6316833,1351833968.7821443,1642757589.3453984,2055509150.5938487,2026216716.6695948,1525428624.317317,1834112078.2862961,1804447397.7757432,2080221286.6423068,
LAUR,,,,,,,,,,1160830190.225467,1304649801.4439757,1507538318.961322,1246437127.8375359,1863398519.119329,
NRBO,,,,,,,,,5225514610.820244,5295499181.500873,539880973.8219895,233281902.2687609,139969141.36125654,32526161.0174351,
HTBI,,,,,200755711.83074802,237607978.9304662,247564010.61551294,300910668.95551044,384868443.1662239,382639470.16823024,389913679.73221093,403426938.4799491,295266543.3003719,479554787.9597195,
FIZZ,225484752.42815337,347246519.62949866,430169634.41331184,526090231.4589429,557980565.1565143,770999851.2328342,865080167.7040697,1737808973.728519,2009976091.6202674,3895115396.56968,2963247304.0976624,2106519343.3344631,3731488336.7253766,4231020989.102762,
KGJI,633038.2008679203,12449751.3535738,43046597.4914074,12027726.361227037,12133231.603646278,17725069.791913033,10010897.839093208,8211186.214542389,14510177.57091522,22721363.78545761,8886078.241360188,16984781.892728806,1349783.9698299756,,
VII,,,,,,,,,,,,,,280600012.4392824,
MGTI,,,,,,,,,,,36239862.57206274,12307877.47017293,27350839.388661068,11624107.631716814,
EQH,,,,,,,,,,,5652441350.887447,8655713434.330774,9220294966.16595,12078612871.119562,
CWBC,26881923.534056768,20591995.724945072,26956796.52684654,11157117.566158678,25084798.621696714,49121283.588218026,49421242.68143551,53363773.70802186,72020612.03771505,84276977.2890289,80692607.92999056,91217460.14985302,76399063.87164286,115421981.85005322,
QUAD,,,1224232072.6365516,438395216.6690114,667454991.8359047,934539438.5481913,832733118.9131477,365570185.11236054,1122913147.4289196,997277725.645066,575843855.7197894,244932235.63259497,206985553.91328004,216738803.69685766,
TOPS,7.280535974916803e+18,4.511252269890074e+18,4.868579214559279e+18,7.995189980414825e+17,4.198591483703549e+17,8.039855674259058e+17,6.763688139182909e+16,2.0418681722814496e+16,1.435688513260546e+16,88622750533.04903,29068262174.84008,1417964008.5287845,85786825.22054318,59554485.653657235,
